Date,Region,Service,Daily_Usage_Units,Peak_Usage_Units,VM_Count,Storage_TB,Season,Econ_Index,Downtime_Min
2020-01-01,East US,Compute,67008,82228,6467,0,Winter,88,0
2020-01-01,East US,Storage,0,0,0,461,Winter,100,1
2020-01-01,West Europe,Compute,127251,135018,6019,0,Winter,104,2
2020-01-01,West Europe,Storage,0,0,0,1018,Winter,94,2
2020-01-01,Central India,Compute,61531,74826,9029,0,Winter,91,0
2020-01-01,Central India,Storage,0,0,0,738,Winter,93,1
2020-01-02,East US,Compute,119766,147059,14375,0,Winter,90,1
2020-01-02,East US,Storage,0,0,0,541,Winter,87,0
2020-01-02,West Europe,Compute,119622,133700,9886,0,Winter,89,3
2020-01-02,West Europe,Storage,0,0,0,886,Winter,96,1
2020-01-02,Central India,Compute,93746,112998,5086,0,Winter,95,3
2020-01-02,Central India,Storage,0,0,0,790,Winter,102,2
2020-01-03,East US,Compute,151845,164711,11810,0,Winter,94,0
2020-01-03,East US,Storage,0,0,0,1128,Winter,97,0
2020-01-03,West Europe,Compute,80231,88221,8478,0,Winter,96,3
2020-01-03,West Europe,Storage,0,0,0,741,Winter,85,1
2020-01-03,Central India,Compute,68070,80850,12145,0,Winter,85,1
2020-01-03,Central India,Storage,0,0,0,1063,Winter,86,0
2020-01-04,East US,Compute,176604,210221,6453,0,Winter,90,0
2020-01-04,East US,Storage,0,0,0,1124,Winter,95,3
2020-01-04,West Europe,Compute,54177,64667,3999,0,Winter,95,0
2020-01-04,West Europe,Storage,0,0,0,1052,Winter,108,2
2020-01-04,Central India,Compute,110669,123190,4297,0,Winter,95,0
2020-01-04,Central India,Storage,0,0,0,302,Winter,82,2
2020-01-05,East US,Compute,119365,136203,14279,0,Winter,89,0
2020-01-05,East US,Storage,0,0,0,1137,Winter,99,2
2020-01-05,West Europe,Compute,66158,79814,14098,0,Winter,96,3
2020-01-05,West Europe,Storage,0,0,0,922,Winter,96,1
2020-01-05,Central India,Compute,162718,185163,7741,0,Winter,108,0
2020-01-05,Central India,Storage,0,0,0,1089,Winter,93,1
