Date,Region,Service,Daily_Usage_Units,Peak_Usage_Units,VM_Count,Storage_TB,Season,Econ_Index,Downtime_Min,Usage_Lag_1,Usage_Lag_7,Week_Over_Week_Growth,Seasonality_Factor
2020-01-01,East US,Compute,67008,82228,6467,0,Winter,88,0,,,,1.0858207542704796
2020-01-02,East US,Compute,119766,147059,14375,0,Winter,90,1,67008.0,,,1.0670241792350095
2020-01-03,East US,Compute,151845,164711,11810,0,Winter,94,0,119766.0,,,1.1014022832545813
2020-01-04,East US,Compute,176604,210221,6453,0,Winter,90,0,151845.0,,,1.1693711757483523
2020-01-05,East US,Compute,119365,136203,14279,0,Winter,89,0,176604.0,,,1.1284742398290981
2020-01-06,East US,Compute,145273,158954,3530,0,Winter,107,3,119365.0,,,1.1616946752578645
2020-01-07,East US,Compute,107560,131018,6860,0,Winter,100,0,145273.0,,,1.0839951400605612
2020-01-08,East US,Compute,80292,94715,4585,0,Winter,103,2,107560.0,67008.0,19.824498567335244,1.1972994792660878
2020-01-09,East US,Compute,60834,67599,9047,0,Winter,86,0,80292.0,119766.0,-49.20595160563098,1.0934840199929161
2020-01-10,East US,Compute,167849,194976,12900,0,Winter,84,2,60834.0,151845.0,10.539695083802563,1.1008361807762896
2020-01-11,East US,Compute,134015,142169,7935,0,Winter,89,2,167849.0,176604.0,-24.115535321963264,1.179721131820692
2020-01-12,East US,Compute,122095,142477,5039,0,Winter,86,0,134015.0,119365.0,2.287102584509697,1.1732685447220395
2020-01-13,East US,Compute,106371,111942,8988,0,Winter,86,1,122095.0,145273.0,-26.778547975191536,1.1083616006975563
2020-01-14,East US,Compute,142511,169950,13522,0,Winter,99,3,106371.0,107560.0,32.49442171811082,1.0993778589285703
2020-01-15,East US,Compute,147721,164258,12884,0,Winter,92,0,142511.0,80292.0,83.9797240073731,1.1788135041345167
2020-01-16,East US,Compute,72464,84686,9336,0,Winter,86,3,147721.0,60834.0,19.117598711247,1.195374757295558
2020-01-17,East US,Compute,103136,118106,14662,0,Winter,87,0,72464.0,167849.0,-38.554295825414506,1.0986979981662712
2020-01-18,East US,Compute,139588,172442,12745,0,Winter,94,2,103136.0,134015.0,4.158489721299855,1.1974757612533722
2020-01-19,East US,Compute,99315,113923,4772,0,Winter,95,0,139588.0,122095.0,-18.657602686432696,1.055512231047878
2020-01-20,East US,Compute,72756,78094,6493,0,Winter,105,1,99315.0,106371.0,-31.601658346729845,1.1902417701896204
2020-01-21,East US,Compute,127238,136512,8604,0,Winter,84,2,72756.0,142511.0,-10.717067454442113,1.1984249675968788
2020-01-22,East US,Compute,67482,74723,8008,0,Winter,89,2,127238.0,147721.0,-54.317937192410014,1.0826496994771326
2020-01-23,East US,Compute,178191,205653,12592,0,Winter,105,0,67482.0,72464.0,145.90279311106204,1.1648481881903276
2020-01-24,East US,Compute,141631,171407,9150,0,Winter,93,1,178191.0,103136.0,37.32450356810425,1.144834074516534
2020-01-25,East US,Compute,111018,123436,10174,0,Winter,101,0,141631.0,139588.0,-20.467375419090466,1.1880228083472677
2020-01-26,East US,Compute,68823,81758,5603,0,Winter,82,0,111018.0,99315.0,-30.70231082917988,1.1929262990554337
2020-01-27,East US,Compute,81826,88950,10690,0,Winter,101,0,68823.0,72756.0,12.466325801308484,1.1243611960295607
2020-01-28,East US,Compute,77686,88572,11417,0,Winter,95,0,81826.0,127238.0,-38.94434052720099,1.183287240101386
2020-01-29,East US,Compute,84227,97525,3087,0,Winter,102,0,77686.0,67482.0,24.814024480602235,1.1359153746461004
2020-01-30,East US,Compute,131297,159198,14135,0,Winter,88,3,84227.0,178191.0,-26.316705108563283,1.0952823374267264
2020-01-31,East US,Compute,81896,95838,6730,0,Winter,99,2,131297.0,141631.0,-42.17650090728725,1.1897031400812952
2020-02-01,East US,Compute,84213,88983,3596,0,Winter,105,1,81896.0,111018.0,-24.144733286494084,1.1905358629102623
2020-02-02,East US,Compute,64357,78398,12619,0,Winter,104,1,84213.0,68823.0,-6.489109745288639,1.0574657171161352
2020-02-03,East US,Compute,112543,136835,14932,0,Winter,83,3,64357.0,81826.0,37.53941290054506,1.0646817127490216
2020-02-04,East US,Compute,76347,87645,8675,0,Winter,94,0,112543.0,77686.0,-1.7236052828051387,1.1779893113194717
2020-02-05,East US,Compute,92110,110128,9298,0,Winter,94,1,76347.0,84227.0,9.359231600318187,1.1757560166188452
2020-02-06,East US,Compute,167101,193833,9645,0,Winter,105,3,92110.0,131297.0,27.269473026801833,1.070954454496612
2020-02-07,East US,Compute,76288,91007,13791,0,Winter,88,0,167101.0,81896.0,-6.8477092898310055,1.0982567185549361
2020-02-08,East US,Compute,144077,159770,4334,0,Winter,87,1,76288.0,84213.0,71.0864118366523,1.0950383512585682
2020-02-09,East US,Compute,120958,138295,14801,0,Winter,108,3,144077.0,64357.0,87.94847491337384,1.1443383313758226
2020-02-10,East US,Compute,146128,179275,6172,0,Winter,89,3,120958.0,112543.0,29.841927085647264,1.1136598977081285
2020-02-11,East US,Compute,122826,130308,9307,0,Winter,96,0,146128.0,76347.0,60.87861998506817,1.0517339364761984
2020-02-12,East US,Compute,122879,145592,10901,0,Winter,90,0,122826.0,92110.0,33.40462490500489,1.1985838600242447
2020-02-13,East US,Compute,122143,151751,10091,0,Winter,95,0,122879.0,167101.0,-26.90468638727476,1.1349746135903258
2020-02-14,East US,Compute,52160,63280,8857,0,Winter,96,2,122143.0,76288.0,-31.62751677852349,1.154745114399989
2020-02-15,East US,Compute,99439,112145,4497,0,Winter,100,0,52160.0,144077.0,-30.98204432352145,1.1173625818823987
2020-02-16,East US,Compute,135116,166779,8257,0,Winter,102,2,99439.0,120958.0,11.704889300418326,1.076497751472658
2020-02-17,East US,Compute,142057,167001,4480,0,Winter,84,0,135116.0,146128.0,-2.7859137194788133,1.1492049673768436
2020-02-18,East US,Compute,82878,99118,4981,0,Winter,101,0,142057.0,122826.0,-32.524058424112155,1.1207932925249569
2020-02-19,East US,Compute,165434,192759,5789,0,Winter,104,0,82878.0,122879.0,34.631629489172276,1.0661658098567453
2020-02-20,East US,Compute,76449,84484,10267,0,Winter,87,3,165434.0,122143.0,-37.410248642984044,1.1362423446678243
2020-02-21,East US,Compute,92253,109287,4106,0,Winter,106,0,76449.0,52160.0,76.86541411042946,1.144233297909672
2020-02-22,East US,Compute,92350,106114,9158,0,Winter,98,1,92253.0,99439.0,-7.1289936544011905,1.1711320767583033
2020-02-23,East US,Compute,151347,179726,8394,0,Winter,100,3,92350.0,135116.0,12.01264098996418,1.1444418300542092
2020-02-24,East US,Compute,137375,150833,9962,0,Winter,108,0,151347.0,142057.0,-3.2958601124900566,1.1329886455272336
2020-02-25,East US,Compute,130118,159318,10283,0,Winter,83,1,137375.0,82878.0,56.999444967301336,1.0959748675036132
2020-02-26,East US,Compute,170712,198800,12491,0,Winter,85,1,130118.0,165434.0,3.1903961700738663,1.1714011585030404
2020-02-27,East US,Compute,148744,163558,3104,0,Winter,100,3,170712.0,76449.0,94.56631218197754,1.1051351604578386
2020-02-28,East US,Compute,56788,65120,3551,0,Winter,107,0,148744.0,92253.0,-38.443194259265276,1.064521787700218
2020-02-29,East US,Compute,109742,136891,14353,0,Winter,87,2,56788.0,92350.0,18.832701678397402,1.088292215904621
2020-03-01,East US,Compute,125316,143868,14583,0,Spring,88,1,109742.0,151347.0,-17.19954805843525,1.113549393775154
2020-03-02,East US,Compute,101585,118645,6186,0,Spring,100,2,125316.0,137375.0,-26.052775250227477,1.080150760063636
2020-03-03,East US,Compute,75306,82562,8715,0,Spring,88,0,101585.0,130118.0,-42.124840529365656,1.0524346991492275
2020-03-04,East US,Compute,61002,69623,3769,0,Spring,83,0,75306.0,170712.0,-64.26613243357234,1.108369894108836
2020-03-05,East US,Compute,149890,168953,10728,0,Spring,83,0,61002.0,148744.0,0.770451245092239,1.0692856981089418
2020-03-06,East US,Compute,102731,123358,11522,0,Spring,83,0,149890.0,56788.0,80.90265549059662,1.1945042697773385
2020-03-07,East US,Compute,168813,197886,8075,0,Spring,98,0,102731.0,109742.0,53.8271582438811,1.0744494461293341
2020-03-08,East US,Compute,62046,74807,3761,0,Spring,106,2,168813.0,125316.0,-50.48836541223787,1.1248789561757744
2020-03-09,East US,Compute,108340,133712,7940,0,Spring,92,1,62046.0,101585.0,6.649603780085643,1.0890168942027179
2020-03-10,East US,Compute,101219,112202,8549,0,Spring,95,0,108340.0,75306.0,34.41027275383103,1.0888658540314384
2020-03-11,East US,Compute,84925,102187,7743,0,Spring,100,3,101219.0,61002.0,39.21674699190191,1.1853135365122442
2020-03-12,East US,Compute,131555,154500,13825,0,Spring,108,0,84925.0,149890.0,-12.232303689372207,1.1944795575269922
2020-03-13,East US,Compute,121251,141600,9053,0,Spring,107,0,131555.0,102731.0,18.02766448297009,1.0628477651650723
2020-03-14,East US,Compute,149647,177096,11326,0,Spring,96,0,121251.0,168813.0,-11.353391030311647,1.0929712513249312
2020-03-15,East US,Compute,122344,151437,9612,0,Spring,109,0,149647.0,62046.0,97.18273538987204,1.147715946448182
2020-03-16,East US,Compute,63191,72152,13350,0,Spring,100,0,122344.0,108340.0,-41.67343548089348,1.1582687606631268
2020-03-17,East US,Compute,78341,91378,6089,0,Spring,86,1,63191.0,101219.0,-22.60247581975716,1.0645681900619697
2020-03-18,East US,Compute,128872,135568,8734,0,Spring,89,2,78341.0,84925.0,51.74801295260524,1.1829516493444887
2020-03-19,East US,Compute,142701,176774,8622,0,Spring,109,1,128872.0,131555.0,8.472501995363157,1.126229380718004
2020-03-20,East US,Compute,140011,158606,6113,0,Spring,107,2,142701.0,121251.0,15.472037344021905,1.0642659797090077
2020-03-21,East US,Compute,64662,75743,14359,0,Spring,95,1,140011.0,149647.0,-56.79031320373946,1.1750701734375546
2020-03-22,East US,Compute,120647,146486,9975,0,Spring,93,0,64662.0,122344.0,-1.3870725168377689,1.102775519650641
2020-03-23,East US,Compute,118588,139251,14032,0,Spring,96,0,120647.0,63191.0,87.66596508996535,1.155092436489422
